order_id,part_id,part_qty,order_date,due_date,order_last_updated,status
O0001,P073,1,2023-01-06 00:00:00,2023-01-20 00:00:00,2023-01-10 00:00:00,processing
O0002,P026,1,2023-01-07 00:00:00,2023-01-21 00:00:00,2023-01-11 00:00:00,completed
O0003,P137,1,2023-01-07 00:00:00,2023-01-21 00:00:00,2023-01-11 00:00:00,processing
O0004,P061,2,2023-01-07 00:00:00,2023-01-14 00:00:00,2023-01-11 00:00:00,processing
O0005,P124,1,2023-01-07 00:00:00,2023-01-21 00:00:00,2023-01-11 00:00:00,completed
O0006,P136,3,2023-01-07 00:00:00,2023-01-21 00:00:00,2023-01-11 00:00:00,completed
O0007,P062,3,2023-01-08 00:00:00,2023-01-15 00:00:00,2023-01-12 00:00:00,processing
O0008,P088,3,2023-01-08 00:00:00,2023-01-15 00:00:00,2023-01-12 00:00:00,completed
O0009,P087,3,2023-01-09 00:00:00,2023-01-16 00:00:00,2023-01-13 00:00:00,processing
O0010,P138,1,2023-01-09 00:00:00,2023-01-23 00:00:00,2023-01-13 00:00:00,processing
O0011,P123,2,2023-01-09 00:00:00,2023-01-23 00:00:00,2023-01-13 00:00:00,processing
O0012,P140,1,2023-01-10 00:00:00,2023-01-24 00:00:00,2023-01-14 00:00:00,completed
O0013,P139,1,2023-01-10 00:00:00,2023-01-24 00:00:00,2023-01-14 00:00:00,processing
O0014,P065,1,2023-01-11 00:00:00,2023-01-17 00:00:00,2023-01-15 00:00:00,processing
O0015,P141,1,2023-01-12 00:00:00,2023-01-24 00:00:00,2023-01-16 00:00:00,processing
O0016,P061,2,2023-01-13 00:00:00,2023-01-20 00:00:00,2023-01-17 00:00:00,processing
O0017,P065,2,2023-01-13 00:00:00,2023-01-20 00:00:00,2023-01-17 00:00:00,completed
O0018,P060,1,2023-01-14 00:00:00,2023-01-21 00:00:00,2023-01-18 00:00:00,processing
O0019,P136,3,2023-01-14 00:00:00,2023-01-28 00:00:00,2023-01-18 00:00:00,completed
O0020,P137,3,2023-01-14 00:00:00,2023-01-28 00:00:00,2023-01-18 00:00:00,processing
O0021,P063,1,2023-01-15 00:00:00,2023-01-22 00:00:00,2023-01-19 00:00:00,processing
O0022,P141,1,2023-01-15 00:00:00,2023-01-29 00:00:00,2023-01-19 00:00:00,completed
O0023,P062,3,2023-01-15 00:00:00,2023-01-22 00:00:00,2023-01-19 00:00:00,processing
O0024,P073,1,2023-01-15 00:00:00,2023-01-29 00:00:00,2023-01-19 00:00:00,completed
O0025,P071,1,2023-01-16 00:00:00,2023-01-30 00:00:00,2023-01-20 00:00:00,processing
O0026,P072,1,2023-01-16 00:00:00,2023-01-30 00:00:00,2023-01-20 00:00:00,processing
O0027,P087,4,2023-01-16 00:00:00,2023-01-23 00:00:00,2023-01-20 00:00:00,processing
O0028,P064,1,2023-01-17 00:00:00,2023-01-24 00:00:00,2023-01-21 00:00:00,completed
O0029,P088,3,2023-01-17 00:00:00,2023-01-24 00:00:00,2023-01-21 00:00:00,completed
O0030,P139,1,2023-01-17 00:00:00,2023-01-31 00:00:00,2023-01-21 00:00:00,completed
O0031,P142,1,2023-01-17 00:00:00,2023-01-31 00:00:00,2023-01-21 00:00:00,processing
O0032,P122,1,2023-01-17 00:00:00,2023-01-31 00:00:00,2023-01-21 00:00:00,processing
O0033,P138,1,2023-01-18 00:00:00,2023-01-31 00:00:00,2023-01-22 00:00:00,completed
O0034,P124,1,2023-01-18 00:00:00,2023-01-31 00:00:00,2023-01-22 00:00:00,completed
